symbol,d0,era,bucket,day_offset,n_1m_bars,rel_range_med_bp,rel_range_p75_bp,sigma_1m_bp,amihud_bp_per_kusd,zero_vol_minutes,day_turnover_kusd
DYMUSDT,2024-02-07,e2324,mature_d60_d66,66,1440.0,26.62761330650308,46.48628487201585,40.583168804724146,15.418486787395766,0.0,35318.4893227
EDENUSDT,2025-09-30,e2526,listing_d1_d7,1,1440.0,70.68822246602966,104.10714982019654,60.31427116996507,2.0593373532389303,0.0,51303.113649599996
EDENUSDT,2025-09-30,e2526,listing_d1_d7,2,1440.0,45.75495678698586,64.89309204397695,39.928018231645716,3.5643973474464437,0.0,30391.5303888
EDENUSDT,2025-09-30,e2526,listing_d1_d7,3,1440.0,30.4962572775172,44.25106902796625,31.286213914993,5.4191149891308985,0.0,13046.570481699999
EDENUSDT,2025-09-30,e2526,listing_d1_d7,4,1440.0,22.870213418549177,34.98801811685167,23.911955269397463,7.1696070580146,2.0,9601.9089991
EDENUSDT,2025-09-30,e2526,listing_d1_d7,5,1440.0,37.574816331264465,57.9557428872492,37.432558524664245,3.7250052826960234,0.0,25334.4079515
EDENUSDT,2025-09-30,e2526,listing_d1_d7,6,1440.0,25.5065938117199,36.88183084681159,26.402662313254346,4.354648831958273,0.0,14354.8175451
EDENUSDT,2025-09-30,e2526,listing_d1_d7,7,1440.0,24.194772860730815,35.75502008592012,24.59773146679245,7.215850136996084,3.0,10813.3690709
EDENUSDT,2025-09-30,e2526,mature_d60_d66,60,1440.0,9.06324856520485,15.471893500003748,12.457839875544929,405.5735957007188,95.0,482.11305042999993
EDENUSDT,2025-09-30,e2526,mature_d60_d66,61,1440.0,14.965393984503509,25.823056356245672,19.761009722316487,255.68452121038234,46.0,820.75600803
EDENUSDT,2025-09-30,e2526,mature_d60_d66,62,1440.0,20.829347237207376,34.26862249397436,27.57978615502745,152.03476950326137,15.0,2252.6224866800003
EDENUSDT,2025-09-30,e2526,mature_d60_d66,63,1440.0,14.058768141206146,24.25957756165504,18.454574762453348,206.79603190109088,35.0,2906.06639665
EDENUSDT,2025-09-30,e2526,mature_d60_d66,64,1440.0,14.939562678256006,28.9549601871008,23.250545126290316,152.7146635549525,25.0,1319.29096759
EDENUSDT,2025-09-30,e2526,mature_d60_d66,65,1440.0,15.787238081551966,27.157141093691887,19.779700462354764,105.53777663389481,27.0,1132.6299070999999
EDENUSDT,2025-09-30,e2526,mature_d60_d66,66,1440.0,13.7508607717398,23.186873495463022,18.0360826072285,362.5134531718587,48.0,708.7958137899999
EDUUSDT,2023-05-05,e2324,listing_d1_d7,1,1440.0,17.923683204035296,28.57075069709321,20.842268916761206,965.0682007962172,49.0,5669.22648491
EDUUSDT,2023-05-05,e2324,listing_d1_d7,2,1440.0,16.822430053475898,25.30462503078268,17.356479900625754,1396.8162297502267,37.0,3891.3396670700004
EDUUSDT,2023-05-05,e2324,listing_d1_d7,3,1440.0,21.86335452310046,33.200871539017825,25.400374004297646,574.049013487801,20.0,4754.9171569499995
EDUUSDT,2023-05-05,e2324,listing_d1_d7,4,1440.0,22.51512779703303,33.796470146450254,23.515089656155585,198.49498903534146,8.0,6422.706992309999
EDUUSDT,2023-05-05,e2324,listing_d1_d7,5,1440.0,24.615868403771646,42.93111821625775,31.607714041998893,281.26790737196757,30.0,27022.955929310003
EDUUSDT,2023-05-05,e2324,listing_d1_d7,6,1440.0,28.149724733540307,41.56020713856593,30.159765071825383,6.300408791116252,0.0,28179.78590862
EDUUSDT,2023-05-05,e2324,listing_d1_d7,7,1440.0,24.3261735150149,35.76987572741342,24.9476569283462,22.02834045147584,1.0,12991.95584761
EDUUSDT,2023-05-05,e2324,mature_d60_d66,60,1440.0,24.927297300682298,39.081305916729356,27.449864462240924,14.457847838780342,7.0,20091.88616324
EDUUSDT,2023-05-05,e2324,mature_d60_d66,61,1440.0,23.09387268996048,38.97615610510693,26.49829094028291,14.826367845315215,1.0,21705.390745009998
EDUUSDT,2023-05-05,e2324,mature_d60_d66,62,1440.0,17.411491951005747,26.93445979968669,19.442015174180565,27.6612068339713,8.0,7389.179750600001
EDUUSDT,2023-05-05,e2324,mature_d60_d66,63,1440.0,12.294475648265266,20.673382561494222,14.595010926434048,73.83213431416291,45.0,3793.0352103200003
