symbol,sign,threshold,start,era,age_cell,n_settlements,duration_h,peak_rate8h,sum_rate_raw,resolved
0GUSDT,-1,0.003,2026-03-28,e2526,age_30_240,1,0.0,-0.00415428,-0.00207714,true
0GUSDT,-1,0.003,2026-04-02,e2526,age_30_240,1,0.0,-0.00717562,-0.00358781,true
0GUSDT,-1,0.003,2026-04-12,e2526,age_30_240,4,11.999998055555556,-0.00993714,-0.01311028,true
0GUSDT,-1,0.003,2026-04-14,e2526,age_30_240,1,0.0,-0.00305032,-0.00152516,true
0GUSDT,-1,0.003,2026-04-27,e2526,age_30_240,3,7.999998888888889,-0.00992972,-0.008326169999999999,true
0GUSDT,-1,0.005,2025-09-22,e2526,age_lt30,10,8.999998611111112,-0.08841784,-0.06014574,true
0GUSDT,-1,0.005,2025-09-23,e2526,age_lt30,17,16.0,-0.04495416,-0.02750287,true
0GUSDT,-1,0.005,2025-09-24,e2526,age_lt30,8,7.000001111111111,-0.01454968,-0.00964809,true
0GUSDT,-1,0.005,2025-09-24,e2526,age_lt30,9,8.0,-0.01252856,-0.00912776,true
0GUSDT,-1,0.005,2025-09-25,e2526,age_lt30,6,4.999999722222222,-0.00733864,-0.00437576,true
0GUSDT,-1,0.005,2025-09-25,e2526,age_lt30,5,4.000000555555555,-0.00860472,-0.00416677,true
0GUSDT,-1,0.005,2025-09-25,e2526,age_lt30,5,3.9999997222222223,-0.02168272,-0.00817617,true
0GUSDT,-1,0.005,2025-09-26,e2526,age_lt30,2,1.0,-0.00568776,-0.00133973,true
0GUSDT,-1,0.005,2025-09-26,e2526,age_lt30,3,1.9999991666666668,-0.0065152,-0.00224185,true
0GUSDT,-1,0.005,2025-09-26,e2526,age_lt30,4,2.9999997222222223,-0.00567656,-0.00276942,true
0GUSDT,-1,0.005,2025-09-29,e2526,age_lt30,8,6.999999722222222,-0.00861584,-0.00753957,true
0GUSDT,-1,0.005,2025-09-30,e2526,age_lt30,2,1.0,-0.00562192,-0.001402,true
0GUSDT,-1,0.005,2025-09-30,e2526,age_lt30,11,10.0,-0.03940504,-0.02636519,true
0GUSDT,-1,0.005,2025-10-03,e2526,age_lt30,1,0.0,-0.00921872,-0.00115234,true
0GUSDT,-1,0.005,2025-10-05,e2526,age_lt30,2,1.0000005555555556,-0.00591872,-0.00143707,true
0GUSDT,-1,0.005,2025-10-06,e2526,age_lt30,2,1.0,-0.01499808,-0.00284203,true
0GUSDT,-1,0.005,2025-10-06,e2526,age_lt30,2,1.0000005555555556,-0.0053004,-0.00130833,true
0GUSDT,-1,0.005,2025-10-10,e2526,age_lt30,2,0.9999977777777778,-0.00880464,-0.00218318,true
0GUSDT,-1,0.005,2025-10-21,e2526,age_30_240,39,37.99999833333333,-0.02590496,-0.04905858,true
0GUSDT,-1,0.005,2025-10-23,e2526,age_30_240,8,7.000000277777778,-0.01070016,-0.00703001,true
