rate_convention,entry_multiple,drain_fraction,era,trades,trades_removed,trades_drained,drain_no_exit_bar,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,drained_gross_delta,drained_funding_delta
prev,1.0,0.1,early,3981,3,298,21,0.009672440359790091,0.13982485459915833,-0.09766306583936818,-0.0324893484,-0.10572517258335123,-0.03624705510147762,2022-11-10,0.024296509318739237,-0.00765747126436782,0.0017568917000000002,0.0000593754409535416,0.009473738405321362,-0.10777758288541604,0.0343668618
prev,1.0,0.1,late,12741,20,489,21,-0.2978940663405339,0.04130229882504356,-0.3107824694655774,-0.028413895699999994,-0.3599744752772214,-0.03945902091344896,2024-03-01,-0.2338074455227485,0.011956587127673344,0.0073518292999999995,0.0003680733378056277,-0.004236684489867715,-0.07276371305670098,0.05497279330000001
prev,1.0,0.2,full,16722,23,449,7,-0.2424644491157666,0.2444550151891791,-0.40844553530494565,-0.07847392899999998,-0.4153978013118198,-0.03945902091344896,2024-03-01,-0.14499727850482394,0.0042991158633055235,0.009108721,0.00042744877875916927,0.005237053915453647,-0.11721343417713981,0.0717689702
prev,1.0,0.2,early,3981,3,181,7,0.033750095743034406,0.1694995908824026,-0.09766306583936818,-0.0380864293,-0.1160879885834385,-0.03624705510147762,2022-11-10,0.08477793454668275,-0.00765747126436782,0.0017568917000000002,0.0000593754409535416,0.009473738405321362,-0.07925526287148811,0.028696985900000006
prev,1.0,0.2,late,12741,20,268,7,-0.2762145448588009,0.07495542430677647,-0.3107824694655774,-0.040387499699999996,-0.3504567641338925,-0.03945902091344896,2024-03-01,-0.2167918882809834,0.011956587127673344,0.0073518292999999995,0.0003680733378056277,-0.004236684489867715,-0.03795817130565163,0.0430719843
prev,1.25,,full,16706,39,0,0,-0.20099216675661333,0.35252010809111306,-0.40811635974772636,-0.14539591510000002,-0.39064326266308513,-0.04136256828503173,2022-11-10,-0.12031136523202042,0.013447457138511311,0.0139557051,0.0007566243359784363,0.001264872297467119,0.0,0.0
prev,1.25,,early,3978,6,0,0,0.08072569701600349,0.2441712661677181,-0.09759933615171458,-0.065846233,-0.10211741641766903,-0.04136256828503173,2022-11-10,0.2029303595173542,-0.004057471264367819,0.0026141736000000002,0.00012310512860713477,0.006794749992974953,0.0,0.0
prev,1.25,,late,12728,33,0,0,-0.28171786377261687,0.10834884192339499,-0.31051702359601174,-0.07954968209999999,-0.3496884707030714,-0.03945902091344896,2024-03-01,-0.22133710227264053,0.017504928402879132,0.0113415315,0.0006335192073713018,-0.005529877695507833,0.0,0.0
prev,1.25,0.02,full,16706,39,1958,33,-0.2592236276792305,0.18134778606849586,-0.40811635974772636,-0.032455054,-0.4068434128988825,-0.03945902091344896,2024-03-01,-0.1551679801743269,0.013447457138511311,0.0139557051,0.0007566243359784363,0.001264872297467119,-0.17117232202261723,0.11294086110000003
prev,1.25,0.02,early,3978,6,691,33,0.0005595770221223997,0.12152922207383697,-0.09759933615171458,-0.023370308899999997,-0.10298224309862025,-0.026383547459684704,2022-11-10,0.0014066792914087475,-0.004057471264367819,0.0026141736000000002,0.00012310512860713477,0.006794749992974953,-0.1216519057547995,0.04269408200000001
