side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
short,2,pump_0_25,fund_neg,post2025,14,12,-883.0321493220218,-292.92865,-1220.9607993220218,-1265.9607993220218,1075.7788728347975,-305.3026612668345,0.35714285714285715
long,1,pump_0_25,fund_neg,pooled,32,29,-869.1686036983068,228.46299062499997,-685.7056130733067,-730.705613073307,355.42806755531967,-974.2444674321072,0.375
long,1,pump_0_25,fund_neg,e2122,4,4,-957.0429532598195,225.54575,-776.4972032598195,-821.4972032598195,1345.5099910900847,-1578.6227146539193,0.25
long,1,pump_0_25,fund_neg,e2324,11,11,-502.13902394953135,184.67710909090908,-362.4619148586222,-407.4619148586225,790.9004420935306,-608.8686068728524,0.2727272727272727
long,1,pump_0_25,fund_neg,e2526,17,14,-1085.9820142271585,257.4814411764706,-873.500573050688,-918.5005730506879,343.47482790071575,-1208.4710087879532,0.47058823529411764
long,1,pump_0_25,fund_neg,pre2025,15,15,-623.4467384322749,195.5754133333334,-472.8713250989415,-517.8713250989417,677.9272589665587,-740.017926076261,0.26666666666666666
long,1,pump_0_25,fund_neg,post2025,17,14,-1085.9820142271585,257.4814411764706,-873.500573050688,-918.5005730506879,355.47457792207524,-1208.4710087879532,0.47058823529411764
long,2,pump_0_25,fund_neg,pooled,34,29,26.791162609472895,225.16634999999997,206.95751260947284,161.9575126094729,502.1737591894447,-384.12355434095076,0.4117647058823529
long,2,pump_0_25,fund_neg,e2122,5,3,-195.27687537224992,183.0069,-57.26997537224994,-102.26997537224995,776.0867880700036,-449.66244986225814,0.2
long,2,pump_0_25,fund_neg,e2324,15,14,-698.3444123283318,175.97468666666668,-567.3697256616653,-612.3697256616655,397.58449465004156,-679.1642853468502,0.26666666666666666
long,2,pump_0_25,fund_neg,e2526,14,12,883.0321493220218,292.92865,1130.960799322022,1085.9607993220218,1061.375012775117,215.30266126683452,0.6428571428571429
long,2,pump_0_25,fund_neg,pre2025,20,17,-572.5775280893115,177.73273999999998,-439.8447880893115,-484.84478808931146,368.62363419660363,-564.4133676045542,0.25
long,2,pump_0_25,fund_neg,post2025,14,12,883.0321493220218,292.92865,1130.960799322022,1085.9607993220218,1061.8168854749092,215.30266126683452,0.6428571428571429
short,1,pump_0_25,fund_flat,pooled,235,123,252.12411813622901,-29.28271063829787,177.84140749793113,132.84140749793107,179.90031161682117,420.82550335570534,0.5829787234042553
short,1,pump_0_25,fund_flat,e2122,59,24,396.37978469632606,36.62986271186441,388.0096474081905,343.0096474081907,301.5689679242568,557.0923861347286,0.6610169491525424
short,1,pump_0_25,fund_flat,e2324,91,57,408.1015938820179,-11.582759340659338,351.5188345413586,306.51883454135856,252.05093009810923,617.8321377933565,0.6153846153846154
short,1,pump_0_25,fund_flat,e2526,85,42,-14.993936215683059,-93.98315058823529,-153.97708680391838,-198.97708680391833,353.49968840153025,-14.961270505229551,0.49411764705882355
short,1,pump_0_25,fund_flat,pre2025,150,81,403.49101560231253,7.380872000000001,365.8718876023125,320.8718876023125,195.53382204656194,591.4942816236436,0.6333333333333333
short,1,pump_0_25,fund_flat,post2025,85,42,-14.993936215683059,-93.98315058823529,-153.97708680391838,-198.97708680391833,369.5472296782679,-14.961270505229551,0.49411764705882355
short,2,pump_0_25,fund_flat,pooled,223,126,144.3992135023304,-25.58513363228699,73.81407987004349,28.81407987004345,207.1978697050389,292.4735743647661,0.5964125560538116
short,2,pump_0_25,fund_flat,e2122,47,24,279.1876375594371,9.641748936170213,243.82938649560742,198.82938649560734,350.8352166758914,543.7126436781599,0.574468085106383
short,2,pump_0_25,fund_flat,e2324,88,55,210.81553896272553,4.235046590909092,170.0505855536346,125.05058555363458,283.0005574001258,363.68951178876677,0.625
short,2,pump_0_25,fund_flat,e2526,88,47,5.993616102344441,-74.2196715909091,-113.22605548856485,-158.2260554885647,369.97032117364347,190.7309652619731,0.5795454545454546
short,2,pump_0_25,fund_flat,pre2025,135,79,234.61915847417328,6.11738,195.73653847417324,150.73653847417324,217.5751838409827,378.7756241441067,0.6074074074074074
short,2,pump_0_25,fund_flat,post2025,88,47,5.993616102344441,-74.2196715909091,-113.22605548856485,-158.2260554885647,386.0880621546834,190.7309652619731,0.5795454545454546
long,1,pump_0_25,fund_flat,pooled,235,123,-252.12411813622901,29.28271063829787,-267.84140749793113,-312.84140749793113,179.62751184236785,-510.8255033557053,0.3829787234042553
long,1,pump_0_25,fund_flat,e2122,59,24,-396.37978469632606,-36.62986271186441,-478.0096474081905,-523.0096474081905,301.9722542519317,-647.0923861347286,0.3220338983050847
long,1,pump_0_25,fund_flat,e2324,91,57,-408.1015938820179,11.582759340659338,-441.5188345413585,-486.51883454135856,253.28762006571054,-707.8321377933565,0.3516483516483517
long,1,pump_0_25,fund_flat,e2526,85,42,14.993936215683059,93.98315058823529,63.97708680391837,18.9770868039183,359.7751517572222,-75.03872949477044,0.4588235294117647
long,1,pump_0_25,fund_flat,pre2025,150,81,-403.49101560231253,-7.380872000000001,-455.8718876023125,-500.8718876023126,189.21583905287088,-681.4942816236436,0.34
long,1,pump_0_25,fund_flat,post2025,85,42,14.993936215683059,93.98315058823529,63.97708680391837,18.9770868039183,367.3156206562932,-75.03872949477044,0.4588235294117647
long,2,pump_0_25,fund_flat,pooled,223,126,-144.3992135023304,25.58513363228699,-163.81407987004343,-208.8140798700435,197.73889440294047,-382.4735743647661,0.3721973094170404
long,2,pump_0_25,fund_flat,e2122,47,24,-279.1876375594371,-9.641748936170213,-333.8293864956073,-378.82938649560737,362.56417271142135,-633.7126436781598,0.3829787234042553
long,2,pump_0_25,fund_flat,e2324,88,55,-210.81553896272553,-4.235046590909092,-260.0505855536346,-305.0505855536346,279.25814678470306,-453.6895117887667,0.3409090909090909
long,2,pump_0_25,fund_flat,e2526,88,47,-5.993616102344441,74.2196715909091,23.22605548856463,-21.77394451143531,376.52659819672726,-280.7309652619731,0.3977272727272727
long,2,pump_0_25,fund_flat,pre2025,135,79,-234.61915847417328,-6.11738,-285.7365384741733,-330.73653847417324,217.67478648013227,-468.77562414410664,0.35555555555555557
long,2,pump_0_25,fund_flat,post2025,88,47,-5.993616102344441,74.2196715909091,23.22605548856463,-21.77394451143531,390.9032150217238,-280.7309652619731,0.3977272727272727
short,1,pump_0_25,fund_pos,pooled,53,31,-209.07618716725028,131.66823773584903,-122.40794943140133,-167.4079494314013,543.8726601095342,885.5882548106224,0.6981132075471698
short,1,pump_0_25,fund_pos,e2122,21,7,686.9178899504694,139.41376190476188,781.3316518552309,736.3316518552311,384.58976727349767,825.2455984467673,0.7619047619047619
short,1,pump_0_25,fund_pos,e2324,21,14,-498.2029566010542,135.83086666666668,-407.3720899343876,-452.3720899343874,995.0494928056866,1361.938794474572,0.7619047619047619
short,1,pump_0_25,fund_pos,e2526,11,10,-1367.6410472910893,108.93449090909091,-1303.7065563819986,-1348.7065563819986,1079.0021624516967,-133.48206720599308,0.45454545454545453
short,1,pump_0_25,fund_pos,pre2025,42,21,94.3574666747074,137.6223142857143,186.97978096042178,141.97978096042178,576.7207046497506,1260.013501167382,0.7619047619047619
short,1,pump_0_25,fund_pos,post2025,11,10,-1367.6410472910893,108.93449090909091,-1303.7065563819986,-1348.7065563819986,1101.9663475854097,-133.48206720599308,0.45454545454545453
short,2,pump_0_25,fund_pos,pooled,63,30,476.5619982432613,98.78341904761903,530.3454172908804,485.34541729088033,226.9489354672771,655.9665439478589,0.6825396825396826
short,2,pump_0_25,fund_pos,e2122,32,7,426.2111134106061,114.80524375,496.0163571606061,451.01635716060616,329.46838156720094,815.5162619893101,0.75
short,2,pump_0_25,fund_pos,e2324,20,14,761.1327546188033,87.75851000000002,803.8912646188033,758.8912646188031,381.8575328453696,1326.3612951043826,0.7
short,2,pump_0_25,fund_pos,e2526,11,9,105.63592434636342,72.21976363636365,132.8556879827272,87.85568798272708,647.6246516561331,-159.9934125665611,0.45454545454545453
short,2,pump_0_25,fund_pos,pre2025,52,21,555.0271292599126,104.40265384615384,614.4297831060666,569.4297831060666,251.88380633278132,900.2995011757903,0.7307692307692307
short,2,pump_0_25,fund_pos,post2025,11,9,105.63592434636342,72.21976363636365,132.8556879827272,87.85568798272708,608.4523577688876,-159.9934125665611,0.45454545454545453
long,1,pump_0_25,fund_pos,pooled,53,31,209.07618716725028,-131.66823773584903,32.407949431401185,-12.592050568598749,530.0949306022558,-975.5882548106225,0.3018867924528302
long,1,pump_0_25,fund_pos,e2122,21,7,-686.9178899504694,-139.41376190476188,-871.3316518552311,-916.3316518552311,401.04071491378915,-915.2455984467674,0.23809523809523808
long,1,pump_0_25,fund_pos,e2324,21,14,498.2029566010542,-135.83086666666668,317.3720899343876,272.3720899343873,988.6372243142953,-1451.938794474572,0.23809523809523808
long,1,pump_0_25,fund_pos,e2526,11,10,1367.6410472910893,-108.93449090909091,1213.7065563819986,1168.7065563819988,1101.0304027360087,43.48206720599307,0.5454545454545454
long,1,pump_0_25,fund_pos,pre2025,42,21,-94.3574666747074,-137.6223142857143,-276.9797809604218,-321.97978096042175,578.7330205052723,-1350.013501167382,0.23809523809523808
long,1,pump_0_25,fund_pos,post2025,11,10,1367.6410472910893,-108.93449090909091,1213.7065563819986,1168.7065563819988,1095.3076868844382,43.48206720599307,0.5454545454545454
long,2,pump_0_25,fund_pos,pooled,63,30,-476.5619982432613,-98.78341904761903,-620.3454172908804,-665.3454172908803,232.84758225618026,-745.966543947859,0.30158730158730157
long,2,pump_0_25,fund_pos,e2122,32,7,-426.2111134106061,-114.80524375,-586.0163571606062,-631.0163571606062,335.74971364763303,-905.5162619893102,0.25
long,2,pump_0_25,fund_pos,e2324,20,14,-761.1327546188033,-87.75851000000002,-893.8912646188032,-938.8912646188032,376.04888827789637,-1416.3612951043826,0.25
long,2,pump_0_25,fund_pos,e2526,11,9,-105.63592434636342,-72.21976363636365,-222.85568798272718,-267.8556879827271,629.5195081645834,69.99341256656109,0.5454545454545454
long,2,pump_0_25,fund_pos,pre2025,52,21,-555.0271292599126,-104.40265384615384,-704.4297831060666,-749.4297831060665,251.4752096075158,-990.2995011757904,0.25
long,2,pump_0_25,fund_pos,post2025,11,9,-105.63592434636342,-72.21976363636365,-222.85568798272718,-267.8556879827271,625.5457579570904,69.99341256656109,0.5454545454545454
short,1,pump_0_25,fund_none,pooled,0,,,,,,,,
short,1,pump_0_25,fund_none,e2122,0,,,,,,,,
short,1,pump_0_25,fund_none,e2324,0,,,,,,,,
short,1,pump_0_25,fund_none,e2526,0,,,,,,,,
short,1,pump_0_25,fund_none,pre2025,0,,,,,,,,
short,1,pump_0_25,fund_none,post2025,0,,,,,,,,
short,2,pump_0_25,fund_none,pooled,0,,,,,,,,
short,2,pump_0_25,fund_none,e2122,0,,,,,,,,
short,2,pump_0_25,fund_none,e2324,0,,,,,,,,
short,2,pump_0_25,fund_none,e2526,0,,,,,,,,
short,2,pump_0_25,fund_none,pre2025,0,,,,,,,,
short,2,pump_0_25,fund_none,post2025,0,,,,,,,,
long,1,pump_0_25,fund_none,pooled,0,,,,,,,,
long,1,pump_0_25,fund_none,e2122,0,,,,,,,,
long,1,pump_0_25,fund_none,e2324,0,,,,,,,,
long,1,pump_0_25,fund_none,e2526,0,,,,,,,,
long,1,pump_0_25,fund_none,pre2025,0,,,,,,,,
long,1,pump_0_25,fund_none,post2025,0,,,,,,,,
long,2,pump_0_25,fund_none,pooled,0,,,,,,,,
long,2,pump_0_25,fund_none,e2122,0,,,,,,,,
long,2,pump_0_25,fund_none,e2324,0,,,,,,,,
long,2,pump_0_25,fund_none,e2526,0,,,,,,,,
long,2,pump_0_25,fund_none,pre2025,0,,,,,,,,
long,2,pump_0_25,fund_none,post2025,0,,,,,,,,
short,1,pump_25_100,fund_neg,pooled,25,21,-321.52050277980385,-658.074648,-1024.5951507798038,-1069.595150779804,734.5900046126226,-853.023131659057,0.44
short,1,pump_25_100,fund_neg,e2122,0,,,,,,,,
short,1,pump_25_100,fund_neg,e2324,10,9,84.57861109131903,-374.95806000000005,-335.379448908681,-380.37944890868107,1261.50776906646,1564.6431546761703,0.6
short,1,pump_25_100,fund_neg,e2526,15,12,-592.2532453605526,-846.81904,-1484.0722853605523,-1529.072285360553,789.8650671381992,-1335.994130203725,0.3333333333333333
