side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,2,tdec_30_70,e2526,142,64,-761.4837501758832,-80.11202746478874,-886.595777640672,-931.5957776406719,938.0992652294117,542.1891452834246,0.647887323943662,tdecay_cell
short,2,tdec_30_70,pre2025,159,92,233.22313611776013,-8.64831635220126,179.5748197655589,134.5748197655589,257.4960065118444,546.5545871689669,0.6415094339622641,tdecay_cell
short,2,tdec_30_70,post2025,142,64,-761.4837501758832,-80.11202746478874,-886.595777640672,-931.5957776406719,938.7085592066428,542.1891452834246,0.647887323943662,tdecay_cell
short,2,tdec_ge70,pooled,339,152,78.96971220667322,-26.98583569321534,6.983876513457904,-38.01612348654208,202.20077901136432,475.2265896832238,0.6076696165191741,tdecay_cell
short,2,tdec_ge70,e2122,129,39,200.22286349557137,42.239032558139535,197.4618960537109,152.4618960537109,321.1257647734134,622.3984228313934,0.6589147286821705,tdecay_cell
short,2,tdec_ge70,e2324,104,63,404.16782164681035,-51.32202788461538,307.84579376219494,262.84579376219494,223.26907569010174,513.9900212479196,0.6442307692307693,tdecay_cell
short,2,tdec_ge70,e2526,106,50,-387.65538117108247,-87.35417547169814,-520.0095566427807,-565.0095566427807,425.39461144183224,79.66543404482096,0.5094339622641509,tdecay_cell
short,2,tdec_ge70,pre2025,233,102,291.25408945148916,0.47787253218883885,246.73196198367802,201.73196198367805,205.0508719473959,589.1642853468502,0.6523605150214592,tdecay_cell
short,2,tdec_ge70,post2025,106,50,-387.65538117108247,-87.35417547169814,-520.0095566427807,-565.0095566427807,425.6678859949831,79.66543404482096,0.5094339622641509,tdecay_cell
long,1,tdec_lt30,pooled,117,84,-492.7622764466722,23.425052991453,-514.3372234552191,-559.337223455219,260.9102591518695,-695.087652750102,0.3162393162393162,tdecay_cell
long,1,tdec_lt30,e2122,4,4,-365.68268550236473,-8.3293,-419.01198550236484,-464.01198550236484,334.9786329443646,-433.1512717713104,0.25,tdecay_cell
long,1,tdec_lt30,e2324,55,39,-188.48502108833887,-18.50416727272727,-251.9891883610662,-296.98918836106617,255.74882859251173,-689.5985840948626,0.34545454545454546,tdecay_cell
long,1,tdec_lt30,e2526,58,41,-790.0651627998715,65.37547586206897,-769.6896869378021,-814.6896869378023,468.1616666162228,-1032.3474316524096,0.29310344827586204,tdecay_cell
long,1,tdec_lt30,pre2025,59,43,-200.49842206556096,-17.81434576271186,-263.31276782827285,-308.31276782827285,247.30103291140713,-605.8850589147291,0.3389830508474576,tdecay_cell
long,1,tdec_lt30,post2025,58,41,-790.0651627998715,65.37547586206897,-769.6896869378021,-814.6896869378023,476.61638679691407,-1032.3474316524096,0.29310344827586204,tdecay_cell
long,1,tdec_30_70,pooled,364,165,-100.89294266717332,75.7131585164835,-70.17978415068964,-115.17978415068976,434.15464138785296,-723.7179229446047,0.35714285714285715,tdecay_cell
long,1,tdec_30_70,e2122,47,30,-13.750724934593457,25.935457446808513,-32.815267487785015,-77.815267487785,340.7475027972703,40.14274577138109,0.5319148936170213,tdecay_cell
long,1,tdec_30_70,e2324,152,71,-432.41137579829063,9.720611184210524,-467.69076461408025,-512.6907646140803,254.58343233391244,-728.1265330304896,0.32894736842105265,tdecay_cell
long,1,tdec_30_70,e2526,165,65,179.68352765100008,150.68539575757575,285.3689234085759,240.36892340857602,922.4520885080833,-956.8288255605386,0.3333333333333333,tdecay_cell
long,1,tdec_30_70,pre2025,199,101,-333.5317245892768,13.55024824120603,-364.98147634807077,-409.9814763480707,208.68332459727966,-576.4707612251752,0.3768844221105528,tdecay_cell
long,1,tdec_30_70,post2025,165,65,179.68352765100008,150.68539575757575,285.3689234085759,240.36892340857602,900.7985563771971,-956.8288255605386,0.3333333333333333,tdecay_cell
long,1,tdec_ge70,pooled,398,175,-152.6289781461016,38.946488190954774,-158.68248995514685,-203.68248995514682,212.16413194605218,-711.9861700920516,0.3542713567839196,tdecay_cell
long,1,tdec_ge70,e2122,128,42,-366.7683836858775,-40.3959046875,-452.1642883733774,-497.16428837337736,328.82154934123207,-932.1034931237751,0.265625,tdecay_cell
long,1,tdec_ge70,e2324,129,74,-282.0573103253674,51.56554263565892,-275.4917676897084,-320.4917676897085,282.6698273564969,-750.1580375556277,0.34108527131782945,tdecay_cell
long,1,tdec_ge70,e2526,141,59,160.18023291926417,99.42853262411349,214.60876554337773,169.60876554337767,427.6548482614825,-326.135240323829,0.44680851063829785,tdecay_cell
long,1,tdec_ge70,pre2025,257,116,-324.2480394699015,5.763732295719849,-363.48430717418177,-408.4843071741817,214.37736559898477,-816.5704335997093,0.3035019455252918,tdecay_cell
long,1,tdec_ge70,post2025,141,59,160.18023291926417,99.42853262411349,214.60876554337773,169.60876554337767,425.12393662941025,-326.135240323829,0.44680851063829785,tdecay_cell
long,2,tdec_lt30,pooled,239,130,-474.96116436860274,55.632656903765685,-464.328507464837,-509.328507464837,145.4421348736853,-636.5000619901309,0.3305439330543933,tdecay_cell
long,2,tdec_lt30,e2122,9,9,-369.3519754770399,76.87633333333333,-337.4756421437065,-382.47564214370647,477.4594774704209,199.61032332757395,0.5555555555555556,tdecay_cell
long,2,tdec_lt30,e2324,114,61,-289.75909790045864,-1.1288640350877184,-335.88796193554634,-380.88796193554646,178.80236590822247,-398.27547293774956,0.3684210526315789,tdecay_cell
long,2,tdec_lt30,e2526,116,60,-665.1639081392275,109.7673146551724,-600.3965934840552,-645.3965934840553,248.87563766462839,-837.6528365780258,0.27586206896551724,tdecay_cell
long,2,tdec_lt30,pre2025,123,70,-295.582966991428,4.5788333333333355,-336.0041336580947,-381.0041336580947,164.54095012224835,-394.29980295411707,0.3821138211382114,tdecay_cell
long,2,tdec_lt30,post2025,116,60,-665.1639081392275,109.7673146551724,-600.3965934840552,-645.3965934840553,249.0071815709727,-837.6528365780258,0.27586206896551724,tdecay_cell
long,2,tdec_30_70,pooled,301,155,236.04057768189878,42.362093687707635,233.40267136960648,188.40267136960648,451.3734097973101,-636.5545871689669,0.33222591362126247,tdecay_cell
long,2,tdec_30_70,e2122,41,26,284.37134920900996,44.40771707317074,283.7790662821807,238.77906628218062,364.74086805401834,-182.29086300703094,0.4634146341463415,tdecay_cell
long,2,tdec_30_70,e2324,118,66,-413.06528779909553,-3.776560169491523,-461.841847968587,-506.8418479685871,332.74629121246596,-891.9696151186369,0.288135593220339,tdecay_cell
long,2,tdec_30_70,e2526,142,64,761.4837501758832,80.11202746478874,796.595777640672,751.5957776406719,938.5169605091613,-632.1891452834245,0.33098591549295775,tdecay_cell
long,2,tdec_30_70,pre2025,159,92,-233.22313611776013,8.64831635220126,-269.57481976555897,-314.574819765559,251.8478748437618,-636.5545871689669,0.3333333333333333,tdecay_cell
long,2,tdec_30_70,post2025,142,64,761.4837501758832,80.11202746478874,796.595777640672,751.5957776406719,924.9121067877833,-632.1891452834245,0.33098591549295775,tdecay_cell
long,2,tdec_ge70,pooled,339,152,-78.96971220667322,26.98583569321534,-96.98387651345791,-141.9838765134579,196.9172655674311,-565.2265896832237,0.37168141592920356,tdecay_cell
long,2,tdec_ge70,e2122,129,39,-200.22286349557137,-42.239032558139535,-287.4618960537109,-332.4618960537108,320.5769454325613,-712.3984228313934,0.3178294573643411,tdecay_cell
long,2,tdec_ge70,e2324,104,63,-404.16782164681035,51.32202788461538,-397.84579376219494,-442.84579376219506,227.267211046749,-603.9900212479195,0.3269230769230769,tdecay_cell
long,2,tdec_ge70,e2526,106,50,387.65538117108247,87.35417547169814,430.0095566427806,385.00955664278064,431.81290625914073,-169.66543404482096,0.4811320754716981,tdecay_cell
long,2,tdec_ge70,pre2025,233,102,-291.25408945148916,-0.47787253218883885,-336.73196198367805,-381.731961983678,205.69764908415112,-679.1642853468502,0.3218884120171674,tdecay_cell
long,2,tdec_ge70,post2025,106,50,387.65538117108247,87.35417547169814,430.0095566427806,385.00955664278064,431.19389372236435,-169.66543404482096,0.4811320754716981,tdecay_cell
short,1,fund_neg,pooled,128,89,660.9145621089152,-336.5222414062501,279.3923207026652,234.39232070266513,345.76867463732145,1138.8091304178042,0.640625,fund_cell
short,1,fund_neg,e2122,12,10,784.7451451594732,-234.63450833333334,505.11063682613985,460.1106368261399,690.3179203861886,838.0429920211075,0.6666666666666666,fund_cell
short,1,fund_neg,e2324,43,33,796.5256839497491,-246.67064883720928,504.85503511253984,459.8550351125397,456.0307679392625,972.1618996296842,0.6976744186046512,fund_cell
short,1,fund_neg,e2526,73,46,560.6783260025786,-406.19719041095897,109.48113559161979,64.48113559161979,545.4858317698398,1191.0431174391197,0.6027397260273972,fund_cell
short,1,fund_neg,pre2025,55,43,793.9553845773254,-244.0445818181818,504.9108027591436,459.91080275914345,383.7391201825295,972.1618996296842,0.6909090909090909,fund_cell
short,1,fund_neg,post2025,73,46,560.6783260025786,-406.19719041095897,109.48113559161979,64.48113559161979,522.1205048151314,1191.0431174391197,0.6027397260273972,fund_cell
short,1,fund_flat,pooled,627,199,150.325477075421,-27.25876331738437,78.06671375803667,33.066713758036585,266.6874710025895,581.828300769686,0.6251993620414673,fund_cell
short,1,fund_flat,e2122,131,42,302.63964143533815,16.501538167938932,274.1411796032772,229.14117960327707,283.0223249019925,517.601387340303,0.6412213740458015,fund_cell
short,1,fund_flat,e2324,237,83,347.4760821715344,-11.490305907172992,290.9857762643614,245.9857762643614,159.59366742663119,524.6724348837203,0.6160337552742616,fund_cell
