symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
HDUSDT,2026-05-16,e2526,-0.0016513885144243678,9,24,0
HEIUSDT,2025-02-14,e2526,-0.11236676512135602,4,24,48
HEMIUSDT,2025-08-29,e2526,-0.16590909090909078,6,20,48
HFTUSDT,2023-04-07,e2324,-0.10075642965204235,1,24,24
HIFIUSDT,2023-09-17,e2324,-0.5170571539874227,0,24,27
HIGHUSDT,2023-02-07,e2324,-0.13072928426281327,2,22,24
HIMSUSDT,2026-06-10,e2526,0.01194659170765977,20,24,18
HIPPOUSDT,2024-11-14,e2324,0.19971537001897532,7,24,48
HIVEUSDT,2024-12-24,e2324,-0.10738924445183262,7,24,48
HMSTRUSDT,2024-09-27,e2324,-0.02016936104695921,4,24,48
HOLOUSDT,2025-09-12,e2526,-0.042080276219248924,4,24,48
HOMEUSDT,2025-06-11,e2526,-0.08185680566483078,6,24,48
HOODUSDT,2026-02-03,e2526,-0.11294247787610623,8,24,24
HOOKUSDT,2023-01-23,e2324,-0.02239382239382237,2,21,24
HPEUSDT,2026-06-09,e2526,-0.09861139062185553,15,24,24
HUMAUSDT,2025-05-27,e2526,-0.22212089045703953,4,24,48
HUSDT,2025-06-26,e2526,-0.4594809322033898,3,24,78
HYPERUSDT,2025-04-23,e2526,-0.20589318600368323,4,24,48
HYPEUSDT,2025-05-31,e2526,0.04026804751751456,4,24,48
HYUNDAIUSDT,2026-06-02,e2526,0.24854480436428172,18,21,0
IBMUSDT,2026-06-04,e2526,-0.044500391249617244,18,24,0
ICNTUSDT,2025-07-04,e2526,-0.21330348576910774,0,24,48
ICPUSDT,2021-05-11,e2122,-0.3219736842105264,1,21,23
IDEXUSDT,2023-05-04,e2324,-0.03139835096193888,3,24,24
IDOLUSDT,2025-07-05,e2526,0.1647684130599849,2,24,48
IDUSDT,2023-03-24,e2324,-0.10327217703801761,1,24,24
ILVUSDT,2023-11-11,e2324,-0.06098832360300255,3,24,48
IMXUSDT,2022-02-11,e2122,-0.0910851181537976,1,21,23
INITUSDT,2025-04-17,e2526,0.0478403499179878,7,24,48
INJUSDT,2022-08-17,e2122,-0.12098765432098757,0,22,24
INTCUSDT,2026-02-03,e2526,-0.0046996322026970905,8,24,24
INUSDT,2025-08-08,e2526,0.2073593073593074,5,24,48
INXUSDT,2026-01-31,e2526,-0.33432245301681507,6,24,48
IOTXUSDT,2021-08-12,e2122,-0.27481751824817524,0,21,24
IOUSDT,2024-06-12,e2324,0.18771003360537675,0,24,48
IPUSDT,2025-02-14,e2526,-0.21906774486431368,4,24,48
IRENUSDT,2026-06-04,e2526,-0.14740717029449413,18,24,0
IRUSDT,2025-12-22,e2526,-0.27854644181068244,2,24,48
IRYSUSDT,2025-11-27,e2526,-0.30391462131460845,1,24,48
IWMUSDT,2026-06-09,e2526,-0.011633645914122526,15,24,15
JASMYUSDT,2022-04-20,e2122,0.048181818181818326,1,21,24
JCTUSDT,2025-11-11,e2526,-0.3186558516801855,5,24,48
JELLYJELLYUSDT,2025-03-27,e2526,-0.26305418719211826,10,24,48
JOEUSDT,2023-03-30,e2324,0.048535274744323065,2,24,24
JPMUSDT,2026-05-19,e2526,0.0011639894908377357,17,24,0
JSTUSDT,2025-04-29,e2526,-0.06615000000000004,5,24,48
JTOUSDT,2023-12-09,e2324,-0.034746235359732314,0,24,48
JUPUSDT,2024-02-01,e2324,-0.06743098506562084,2,24,47
KAIAUSDT,2024-12-05,e2324,-0.043051141288644956,1,24,48
