threshold,sign,persistence,era,n_trades,mean_gross_alt_bp,mean_alt_funding_bp,mean_gross_btc_bp,mean_btc_funding_bp,mean_net_unhedged_bp,mean_net_hedged_bp,mean_hold_h,n_weeks,capped_share,se_net_hedged_bp_wk,se_net_unhedged_bp_wk,median_net_hedged_bp,win_rate_hedged
0.0015,-1,1,post2025,28281,-33.13391633239823,47.291172232240726,2.3505456351867697,0.23313761889607862,-30.842744100157496,-73.25906084607465,6.709274778119585,80,0.00007071885718326793,9.895141316619005,10.387371471619762,-108.46190115921219,0.24507619956861498
0.0015,-1,2,pooled,15238,-48.1319850965058,86.84346036225227,1.2714511798153012,0.41286139913374464,-6.2885247342535395,-49.60421215530449,10.266832917705736,248,0.000262501640635254,18.407210132937347,19.706990933517748,-114.84598445341953,0.2720829505184407
0.0015,-1,2,e2122,1557,-27.489589074852894,64.86872691072575,5.694555226582966,0.1122689145793192,-7.620862164127145,-46.81403802296486,11.554913294797688,64,0.0,21.433147221696142,18.885621184263293,-95.36364867585311,0.26204238921001927
0.0015,-1,2,e2324,1165,23.237968360620858,133.26077278969956,-26.652326001209126,1.8625809442060088,111.49874115032044,41.7089960933173,22.01459227467811,105,0.0017167381974248926,46.760913883214144,45.314488307239536,-150.63443188158513,0.3536480686695279
0.0015,-1,2,e2526,12516,-57.343091391109986,85.25657086129755,3.3203827406235624,0.3153141978267818,-17.086520529812454,-58.45082359136211,9.013103227868328,80,0.00015979546180888463,21.385122789808875,22.991620779698874,-116.72148978540432,0.26573985298817515
0.0015,-1,2,pre2025,2722,-5.778492670618174,94.14012053637032,-8.149719802945981,0.8613921748714181,43.36162786575213,-8.926699762322425,16.031594415870682,169,0.0007347538574577516,23.832403130761993,22.85577070040668,-104.37764543981501,0.30124908155767816
0.0015,-1,2,post2025,12516,-57.343091391109986,85.25657086129755,3.3203827406235624,0.3153141978267818,-17.086520529812454,-58.45082359136211,9.013103227868328,80,0.00015979546180888463,21.652629273234023,23.454503058745843,-116.72148978540432,0.26573985298817515
0.003,1,1,pooled,3518,26.007941511750143,11.855161426947129,0.5897890725139066,-0.34206893121091525,-7.136897061302716,-51.88917691999973,3.8118249005116542,191,0.0,12.453600668065425,12.645344866739277,-72.59678225888989,0.34479818078453667
0.003,1,1,e2122,811,15.58890062865843,2.6227235511713936,-1.944024500774415,-0.14989605425400737,-26.788375820170167,-73.88229637519859,2.4932182490752157,59,0.0,7.20368612516363,8.14043067201887,-82.24094130256782,0.2157829839704069
0.003,1,1,e2324,295,45.758813476049134,29.201588813559322,-0.8331755199908513,-2.5610932203389827,29.96040228960844,-18.433866450721393,8.033898305084746,62,0.0,48.73760187820621,43.43615817968062,-61.57606415804724,0.39661016949152544
0.003,1,1,e2526,2412,27.095559640572365,12.83787744610282,1.6157830039922367,-0.13528619402985073,-5.066562913324808,-48.58606610336242,3.7388059701492535,70,0.0,17.23209862627851,17.238798805155326,-68.20107759511711,0.3818407960199005
0.003,1,1,pre2025,1106,23.636029281443474,9.712023056057866,-1.6477311469487808,-0.7930273056057866,-11.651947662498658,-59.092706115053225,3.9710669077757683,121,0.0,13.671137895989656,13.503973496777425,-79.75806373871326,0.2640144665461121
0.003,1,1,post2025,2412,27.095559640572365,12.83787744610282,1.6157830039922367,-0.13528619402985073,-5.066562913324808,-48.58606610336242,3.7388059701492535,70,0.0,17.027849568792952,16.791857520057434,-68.20107759511711,0.3818407960199005
