side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,2,fund_none,pooled,59,6,-15.792448867557074,2.6121728813559324,-58.18027598620113,-103.18027598620114,176.35052176547757,-78.63057252747384,0.4576271186440678,fund_cell
short,2,fund_none,e2122,0,,,,,,,,,fund_cell
short,2,fund_none,e2324,0,,,,,,,,,fund_cell
short,2,fund_none,e2526,59,6,-15.792448867557074,2.6121728813559324,-58.18027598620113,-103.18027598620114,176.32023408454748,-78.63057252747384,0.4576271186440678,fund_cell
short,2,fund_none,pre2025,0,,,,,,,,,fund_cell
short,2,fund_none,post2025,59,6,-15.792448867557074,2.6121728813559324,-58.18027598620113,-103.18027598620114,174.3824302108906,-78.63057252747384,0.4576271186440678,fund_cell
long,1,fund_neg,pooled,107,71,417.00965438386174,404.8746953271028,776.8843497109647,731.8843497109648,517.6968930819049,-373.75197321529896,0.3925233644859813,fund_cell
long,1,fund_neg,e2122,9,7,-166.08008158218462,193.05815555555554,-18.021926026629153,-63.021926026629174,1108.9308605354179,-260.37919737919856,0.4444444444444444,fund_cell
long,1,fund_neg,e2324,37,28,322.68620228490323,352.15677297297293,629.8429752578763,584.8429752578761,614.3017874575712,-451.4360196531785,0.3783783783783784,fund_cell
long,1,fund_neg,e2526,61,36,560.2518732585487,468.1027606557377,983.3546339142865,938.3546339142865,817.2981694998605,-373.75197321529896,0.39344262295081966,fund_cell
long,1,fund_neg,pre2025,46,35,227.0580163109077,321.0287826086957,503.0867989196035,458.0867989196034,550.2333321751873,-355.90760851618853,0.391304347826087,fund_cell
long,1,fund_neg,post2025,61,36,560.2518732585487,468.1027606557377,983.3546339142865,938.3546339142865,789.8855715295741,-373.75197321529896,0.39344262295081966,fund_cell
long,1,fund_flat,pooled,385,162,-242.83673146521915,31.762757402597398,-256.07397406262174,-301.07397406262174,161.70498808422212,-653.5781779446024,0.34025974025974026,fund_cell
long,1,fund_flat,e2122,38,32,-412.6835202083054,12.412260526315785,-445.2712596819895,-490.2712596819896,390.4950928271095,-954.717679124474,0.3157894736842105,fund_cell
long,1,fund_flat,e2324,149,66,-239.1776094343967,-9.004637583892618,-293.18224701828933,-338.1822470182893,235.6528305202147,-583.8822149225715,0.348993288590604,fund_cell
long,1,fund_flat,e2526,198,65,-212.99345474984173,66.15498333333332,-191.83847141650838,-236.83847141650844,256.83825516802597,-620.2461297944934,0.3383838383838384,fund_cell
long,1,fund_flat,pre2025,187,98,-274.435495046207,-4.65254064171123,-324.08803568791825,-369.08803568791814,199.64141453153152,-660.6339895540376,0.3422459893048128,fund_cell
long,1,fund_flat,post2025,198,65,-212.99345474984173,66.15498333333332,-191.83847141650838,-236.83847141650844,254.5460813558073,-620.2461297944934,0.3383838383838384,fund_cell
