side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
long,1,pump_0_25,fund_neg,post2025,9,8,-1121.2495046511012,124.74306666666668,-1041.5064379844348,-1086.506437984435,1012.3895768135769,-1400.44663537365,0.3333333333333333
long,2,pump_0_25,fund_neg,pooled,10,9,-1086.7032468554653,216.00347,-915.6997768554651,-960.6997768554651,243.5865348048459,-800.1108678594155,0.2
long,2,pump_0_25,fund_neg,e2122,2,2,-1634.1944767134864,138.4573,-1540.7371767134866,-1585.7371767134864,569.3677211873783,-1540.7371767134866,0.0
long,2,pump_0_25,fund_neg,e2324,5,5,-702.1177314583819,243.80538,-503.3123514583817,-548.3123514583817,283.52433663900075,-600.6647999999994,0.4
long,2,pump_0_25,fund_neg,e2526,3,2,-1362.684952611923,221.36439999999996,-1186.320552611923,-1231.320552611923,180.99823866957766,-860.5092285714278,0.0
long,2,pump_0_25,fund_neg,pre2025,7,7,-968.4253729598402,213.7059285714286,-799.7194443884117,-844.7194443884118,313.7830975783116,-734.4196181328546,0.2857142857142857
long,2,pump_0_25,fund_neg,post2025,3,2,-1362.684952611923,221.36439999999996,-1186.320552611923,-1231.320552611923,180.1693352946707,-860.5092285714278,0.0
short,1,pump_0_25,fund_flat,pooled,93,64,319.48139085055664,-45.058689247311825,229.42270160324492,184.42270160324483,263.0362505034988,262.88371707953,0.6021505376344086
short,1,pump_0_25,fund_flat,e2122,8,8,1869.0368351361549,-3.652550000000001,1820.384285136155,1775.384285136155,436.18742784658997,1917.026439904629,0.875
short,1,pump_0_25,fund_flat,e2324,37,26,412.58855886928035,19.635378378378377,387.2239372476587,342.22393724765857,335.79136958744107,454.893902266289,0.6486486486486487
short,1,pump_0_25,fund_flat,e2526,48,30,-10.547958544809093,-101.82805624999999,-157.37601479480907,-202.37601479480907,444.42650805059395,98.74501422535994,0.5208333333333334
short,1,pump_0_25,fund_flat,pre2025,45,34,671.5126968722802,15.495302222222223,642.0079990945026,597.0079990945023,301.01607892574935,789.0512015753943,0.6888888888888889
short,1,pump_0_25,fund_flat,post2025,48,30,-10.547958544809093,-101.82805624999999,-157.37601479480907,-202.37601479480907,438.3053097069985,98.74501422535994,0.5208333333333334
short,2,pump_0_25,fund_flat,pooled,115,78,387.26697710557244,-36.065493043478256,306.20148406209427,261.2014840620942,245.2619942592064,382.11362549722827,0.6
short,2,pump_0_25,fund_flat,e2122,10,8,1389.5528574787363,9.115540000000001,1353.6683974787363,1308.6683974787363,350.34633515971484,1266.1127965998542,0.9
short,2,pump_0_25,fund_flat,e2324,41,32,383.50558235186935,17.6257487804878,356.13133113235716,311.13133113235716,300.8221200577415,382.11362549722827,0.6585365853658537
short,2,pump_0_25,fund_flat,e2526,64,38,233.06945181135683,-77.52098124999999,110.54847056135681,65.54847056135677,383.1466320081071,80.99821895971527,0.515625
short,2,pump_0_25,fund_flat,pre2025,51,40,580.7697539453727,15.957080392156865,551.7268343375296,506.7268343375296,252.35725083561647,789.2091333333323,0.7058823529411765
short,2,pump_0_25,fund_flat,post2025,64,38,233.06945181135683,-77.52098124999999,110.54847056135681,65.54847056135677,388.4540839765845,80.99821895971527,0.515625
long,1,pump_0_25,fund_flat,pooled,93,64,-319.48139085055664,45.058689247311825,-319.42270160324483,-364.42270160324483,269.02130787402484,-352.88371707953,0.34408602150537637
long,1,pump_0_25,fund_flat,e2122,8,8,-1869.0368351361549,3.652550000000001,-1910.3842851361553,-1955.3842851361553,425.24433787879144,-2007.026439904629,0.0
long,1,pump_0_25,fund_flat,e2324,37,26,-412.58855886928035,-19.635378378378377,-477.2239372476586,-522.2239372476587,339.3156945118457,-544.8939022662889,0.2972972972972973
long,1,pump_0_25,fund_flat,e2526,48,30,10.547958544809093,101.82805624999999,67.37601479480912,22.37601479480917,446.1971953843189,-188.74501422535994,0.4375
long,1,pump_0_25,fund_flat,pre2025,45,34,-671.5126968722802,-15.495302222222223,-732.0079990945025,-777.0079990945023,293.6204420541614,-879.0512015753944,0.24444444444444444
long,1,pump_0_25,fund_flat,post2025,48,30,10.547958544809093,101.82805624999999,67.37601479480912,22.37601479480917,445.1892474566063,-188.74501422535994,0.4375
long,2,pump_0_25,fund_flat,pooled,115,78,-387.26697710557244,36.065493043478256,-396.2014840620943,-441.2014840620943,244.65021663497527,-472.1136254972282,0.3391304347826087
long,2,pump_0_25,fund_flat,e2122,10,8,-1389.5528574787363,-9.115540000000001,-1443.6683974787366,-1488.6683974787366,340.8190724624222,-1356.1127965998544,0.1
long,2,pump_0_25,fund_flat,e2324,41,32,-383.50558235186935,-17.6257487804878,-446.13133113235716,-491.13133113235716,298.63191905183373,-472.1136254972282,0.24390243902439024
long,2,pump_0_25,fund_flat,e2526,64,38,-233.06945181135683,77.52098124999999,-200.54847056135665,-245.5484705613568,374.33104024959215,-170.99821895971527,0.4375
long,2,pump_0_25,fund_flat,pre2025,51,40,-580.7697539453727,-15.957080392156865,-641.7268343375295,-686.7268343375295,248.36171885460493,-879.2091333333324,0.21568627450980393
long,2,pump_0_25,fund_flat,post2025,64,38,-233.06945181135683,77.52098124999999,-200.54847056135665,-245.5484705613568,374.270619935856,-170.99821895971527,0.4375
short,1,pump_0_25,fund_pos,pooled,27,24,1180.625462333196,95.64309259259258,1231.2685549257885,1186.2685549257887,299.63006585606485,1004.2415146365752,0.8148148148148148
short,1,pump_0_25,fund_pos,e2122,3,3,909.2664212252706,177.75966666666667,1042.0260878919373,997.0260878919373,82.65302117356825,1109.0021663833957,1.0
short,1,pump_0_25,fund_pos,e2324,8,8,861.2694352102977,104.36246249999999,920.6318977102976,875.6318977102975,447.13003853669045,746.8947876877828,0.625
